0,title,rating,category,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
1,Cryo Mk,5,Physical therapy clinic,Boulevard 8-mi Septemvri 6  Skopje 1000  North Macedonia,cryo.mk,+389 70 205 137,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,41.9988125,21.4040625
2,Denica Eye Clinic,4.5,Hospital,MK  Varsavska 6  Skopje 1000  North Macedonia,denica.mk,+389 2 306 8288,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2PM,Closed,42.0005625,21.4015625
3,Newborn Clinic,5,Fertility clinic,Boulevard Ilinden 107  Skopje 1000  North Macedonia,newborn.mk,+389 2 273 4350,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-4PM,Closed,42.0064375,21.4095625
4,Department of Neurophysiology,null,Medical clinic,Ul  Belgradska bb  Skopje 1000  1000  North Macedonia,null,null,null,null,null,null,null,null,null,41.9871875,21.4239375
5,PZU Fizioplus Medika - fizikalna terapija i rehabilitacija,5,Physical therapy clinic,Ferid Murati∏  5/1 5  Skopje 1000  North Macedonia,fizioplusmedika.mk,+389 78 355 788,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-2PM,Closed,42.0158125,21.4350625
6,ONE Polyclinic Skopje,5,Medical clinic,MK  Mother Teresa 17 lok.5  Skopje 1000  North Macedonia,onehospital.mk,+389 44 344 414,null,null,null,null,null,null,null,41.9913125,21.4221875
7,Bioinformatics,null,Medical clinic,Todor Aleksandrov 111  Skopje 1000  North Macedonia,bioinformatics.mk,+389 78 364 499,12-8PM,12-8PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,41.9820625,21.4215625
8,101 Foot Clinic,3,Medical clinic,Ljubljanska 6  Skopje 1000  North Macedonia,101foot.mk,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,42.0059375,21.3925625
9,Dr. Iskra,5,Medical clinic,Majakovski  Skopje 1000  North Macedonia,driskra.mk,+389 2 322 2209,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,42.0011875,21.4161875
10,""" Mental Health Clinic ""Mladost""",null,Mental health clinic,Blvd. Partizanski Odredi 55  Skopje 1000  North Macedonia,null,null,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,Closed,Closed,42.0001875,21.4140625
11,INTERPLUS DENTAL CLINIC,5,Dental clinic,MK  Ankarska 21  Skopje 1000  North Macedonia,null,+389 78 201 024,8AM-3PM,8AM-3PM,1-9PM,1-9PM,8AM-3PM,Closed,Closed,41.9974375,21.4086875
12,PZU DR.LIDIJA ARSOVSKA,4.2,Physical therapy clinic,MK  Tome Arsovski St 49  Skopje 1000  North Macedonia,null,+389 75 440 271,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,Closed,Closed,41.9826875,21.4344375
13,Clinical Center Mother Theresa,2.8,Medical clinic,Skopje 1000  North Macedonia,zdravstvo.gov.mk,+389 2 314 7147,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9884375,21.4233125
14,Private Medical Clinic VISAR,4.3,Medical clinic,Pance Nedelkovski∏ 75  Skopje 1000  North Macedonia,null,+389 2 261 5587,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,9AM-9PM,12-2PM,42.0130625,21.4433125
15,DR.SRBO - PZU ANGELOVSKI,5,Physical therapy clinic,Mitropolit Teodosij Gologanov 57  Skopje 1000  North Macedonia,akupunkturolog.blogspot.com,+389 75 558 811,8AM-3PM,8AM-3PM,8AM-3PM,8AM-3PM,8AM-3PM,Closed,Closed,41.9945625,21.4196875
