title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,isClaimed,latitude,longitude,query,timestamp
Cryo Mk,,5,3,Physical therapy clinic,,Boulevard 8-mi Septemvri 6  Skopje 1000  North Macedonia,XCX3+GJ Skopje North Macedonia,cryo.mk,+389 70 205 137,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipP1vJPdk6poOz3f43lCbftEBOx2_EdjEaWYaNKW=w408-h612-k-no,TRUE,41.9988125,21.4040625,,2020-11-09T09:33:21.171Z
Denica Eye Clinic,,4.5,24,Hospital,,MK  Varsavska 6  Skopje 1000  North Macedonia,2C22+6J Skopje North Macedonia,denica.mk,+389 2 306 8288,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2PM,Closed,,TRUE,42.0005625,21.4015625,,2020-11-09T09:33:22.772Z
Newborn Clinic,,5,19,Fertility clinic,,Boulevard Ilinden 107  Skopje 1000  North Macedonia,2C45+HR Skopje North Macedonia,newborn.mk,+389 2 273 4350,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-4PM,Closed,https://lh5.googleusercontent.com/p/AF1QipOvL8IamIjNsM212Zm_Ywb2afl4lmRGP5eQx1_G=w408-h271-k-no,TRUE,42.0064375,21.4095625,,2020-11-09T09:33:24.528Z
Department of Neurophysiology,,,,Medical clinic,,Ul  Belgradska bb  Skopje 1000  1000  North Macedonia,XCPF+VH Skopje North Macedonia,,,,,,,,,,,FALSE,41.9871875,21.4239375,,2020-11-09T09:33:26.062Z
PZU Fizioplus Medika - fizikalna terapija i rehabilitacija,,5,3,Physical therapy clinic,,Ferid Murati�  5/1 5  Skopje 1000  North Macedonia,2C8P+82 Skopje North Macedonia,fizioplusmedika.mk,+389 78 355 788,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-2PM,Closed,,TRUE,42.0158125,21.4350625,,2020-11-09T09:33:27.587Z
ONE Polyclinic Skopje,,5,1,Medical clinic,,MK  Mother Teresa 17 lok.5  Skopje 1000  North Macedonia,XCRC+GV Skopje North Macedonia,onehospital.mk,+389 44 344 414,,,,,,,,,FALSE,41.9913125,21.4221875,,2020-11-09T09:33:29.459Z
Bioinformatics,,,,Medical clinic,,Todor Aleksandrov 111  Skopje 1000  North Macedonia,XCJC+RJ Skopje North Macedonia,bioinformatics.mk,+389 78 364 499,12-8PM,12-8PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,,FALSE,41.9820625,21.4215625,,2020-11-09T09:33:30.946Z
101 Foot Clinic,,3,2,Medical clinic,,Ljubljanska 6  Skopje 1000  North Macedonia,294V+92 Skopje North Macedonia,101foot.mk,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,,TRUE,42.0059375,21.3925625,,2020-11-09T09:33:32.505Z
Dr. Iskra,,5,1,Medical clinic,,Majakovski  Skopje 1000  North Macedonia,2C28+FF Skopje North Macedonia,driskra.mk,+389 2 322 2209,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,FALSE,42.0011875,21.4161875,,2020-11-09T09:33:34.067Z
""" Mental Health Clinic ""Mladost""",,,,Mental health clinic,,Blvd. Partizanski Odredi 55  Skopje 1000  North Macedonia,2C27+3J Skopje North Macedonia,,,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,Closed,Closed,,FALSE,42.0001875,21.4140625,,2020-11-09T09:33:35.852Z
INTERPLUS DENTAL CLINIC,,5,5,Dental clinic,,MK  Ankarska 21  Skopje 1000  North Macedonia,XCW5+XF Skopje North Macedonia,,+389 78 201 024,8AM-3PM,8AM-3PM,1-9PM,1-9PM,8AM-3PM,Closed,Closed,,TRUE,41.9974375,21.4086875,,2020-11-09T09:33:38.803Z
PZU DR.LIDIJA ARSOVSKA,,4.2,5,Physical therapy clinic,,MK  Tome Arsovski St 49  Skopje 1000  North Macedonia,XCMM+3Q Skopje North Macedonia,,+389 75 440 271,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,Closed,Closed,,FALSE,41.9826875,21.4344375,,2020-11-09T09:33:40.652Z
Clinical Center Mother Theresa,,2.8,99,Medical clinic,,Skopje 1000  North Macedonia,XCQF+98 Skopje North Macedonia,zdravstvo.gov.mk,+389 2 314 7147,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,41.9884375,21.4233125,,2020-11-09T09:33:42.168Z
Private Medical Clinic VISAR,,4.3,6,Medical clinic,,Pance Nedelkovski� 75  Skopje 1000  North Macedonia,2C7V+68 Skopje North Macedonia,,+389 2 261 5587,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,9AM-9PM,12-2PM,,TRUE,42.0130625,21.4433125,,2020-11-09T09:33:43.699Z
DR.SRBO - PZU ANGELOVSKI,,5,3,Physical therapy clinic,,Mitropolit Teodosij Gologanov 57  Skopje 1000  North Macedonia,XCV9+RV Skopje North Macedonia,akupunkturolog.blogspot.com,+389 75 558 811,8AM-3PM,8AM-3PM,8AM-3PM,8AM-3PM,8AM-3PM,Closed,Closed,,TRUE,41.9945625,21.4196875,,2020-11-09T09:33:45.372Z
PZU Primaterapi,,,,Physical therapy clinic,,Maksim Gorki 8/3  Maksim Gorki  Skopje 1000  North Macedonia,XCWG+RH Skopje North Macedonia,primaterapi.com.mk,+389 2 322 3314,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,10AM-3PM,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9970625,21.4264375,,2020-11-09T09:33:46.887Z
101 Hair Clinic,,,,Medical clinic,,Ljubljanska 6  Skopje 1000  North Macedonia,294V+92 Skopje North Macedonia,101hair.mk,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,,TRUE,42.0059375,21.3925625,,2020-11-09T09:33:47.907Z
JZU UK za ocni bolesti,,,,Ophthalmology clinic,,Centar  Skopje 1000  North Macedonia,XCWF+4R Skopje North Macedonia,,,,,,,,,,,FALSE,41.9953125,21.4245625,,2020-11-09T09:33:49.401Z
KinetoArt,,5,1,Physical therapy clinic,,Elisie Popovski Marko 57  Skopje 1000  North Macedonia,XCR7+6M Skopje North Macedonia,,+389 77 749 509,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-8PM,10AM-8PM,,TRUE,41.9905625,21.4141875,,2020-11-09T09:33:51.345Z
Poliklinika Shkupi,,5,3,Medical clinic,,Brsjacka Buna br.22   Skopje 1000  North Macedonia,2CMG+QM Skopje North Macedonia,,+389 2 614 8100,8AM-9PM,10AM-9PM,8AM-9PM,10AM-9PM,8AM-9PM,10AM-3PM,Closed,,FALSE,42.0344375,21.4266875,,2020-11-09T09:33:54.277Z
Clinic of Gastrointestinal Surgery,,,,Medical clinic,,Mother Teresa  Skopje 1000  North Macedonia,XCQC+QV Skopje North Macedonia,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9894375,21.4221875,,2020-11-09T09:33:55.835Z
University Clinic For Infectious Diseases & Febrile Conditions,,1,1,Medical clinic,,Mother Teresa 17  Skopje 1000  North Macedonia,XCQG+57 Skopje North Macedonia,infektivnaklinika.mk,+389 2 322 8224,,,,,,,,,FALSE,41.9879375,21.4256875,,2020-11-09T09:33:57.330Z
Ultramedika,,5,2,Medical Center,,MK  Boulevard Ilinden 97  Skopje 1000  North Macedonia,2C47+FX Skopje North Macedonia,ultramedica.com.mk,+389 2 306 7447,,,,,,,,,TRUE,42.0061875,21.4149375,,2020-11-09T09:33:59.364Z
Centar za bolka masaza i telesno zdravje Dr. Mancheva,,,,Physical therapy clinic,,1/3  Volgogradska 4  Skopje 1000  North Macedonia,294Q+6Q Skopje North Macedonia,,+389 77 646 064,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-3PM,Closed,,FALSE,42.0055625,21.3894375,,2020-11-09T09:34:00.772Z
101 Body Clinic,,,,Medical clinic,,Ljubljanska 6  Skopje 1000  North Macedonia,294V+92 Skopje North Macedonia,,+389 78 270 954,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,,TRUE,42.0059375,21.3925625,,2020-11-09T09:34:02.182Z
Ortodoncija d-r Maja,,4.7,3,Dental clinic,,Orce Nikolov 142  Skopje 1000  North Macedonia,2C38+HF Skopje North Macedonia,zk.mk,+389 2 317 8122,11AM-7PM,11AM-7PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,,FALSE,42.0039375,21.4161875,,2020-11-09T09:34:03.673Z
SeMed,,5,1,Community health centre,,MK  Bledski Dogovor 2  Skopje 1000  North Macedonia,2C32+5V Skopje North Macedonia,,+389 75 253 025,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,7:30AM-7:30PM,Closed,Closed,,TRUE,42.0029375,21.4021875,,2020-11-09T09:34:05.345Z
