title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,isClaimed,latitude,longitude,query,timestamp
Remedium Lek,,,,Pharmacy,,Skopje,2C25+WJ Skopje,,+389 2 307 1105,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,8AM-4PM,Closed,https://geo0.ggpht.com/cbk?panoid=5xk84ukGWDuThnyskBZROQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=89.973434&pitch=0&thumbfov=100,0,42.0023125,21.4090625,,2020-11-09T09:46:06.807Z
Zegin - Ruzveltova,,,,Pharmacy,,Franklin Ruzvelt 68 ,2C38+C4 Skopje,zegin.com.mk,+389 2 321 7050,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,7AM-10PM,,0,42.0035625,21.4153125,,2020-11-09T09:46:08.568Z
Efedra,,5,1,Pharmacy,,Orce Nikolov 150 ,2C38+Q2 Skopje,zk.mk,+389 2 306 7500,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,8AM-5PM,Closed,https://geo2.ggpht.com/cbk?panoid=CHFi0zNl-B0126CT5oyJ_w&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=15.314911&pitch=0&thumbfov=100,0,42.0044375,21.4150625,,2020-11-09T09:46:10.491Z
Zegin - Leptokarija,,3,7,Pharmacy,,Skopje,293W+9V Skopje,zegin.com.mk,+389 2 306 5903,,,,,,,,,0,42.0034375,21.3971875,,2020-11-09T09:46:12.064Z
Makmedika,,,,Pharmacy,,Veselin Maslesha,2C35+92 Skopje,,,,,,,,,,,0,42.0034375,21.4075625,,2020-11-09T09:46:13.654Z
Eurofarm - Taftalidzhe,,4.7,12,Pharmacy,,Ulica Moskovska,292R+94 Skopje,eurofarm.com.mk,+389 2 551 4580,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,0,42.0009375,21.3903125,,2020-11-09T09:46:15.795Z
Ambrozija Farm,,5,2,Pharmacy,,Bulevar Partizanski Odredi ,2C28+63 Skopje,,+389 2 322 4399,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,9AM-5PM,Closed,,0,42.0005625,21.4151875,,2020-11-09T09:46:17.311Z
Zegin,,3.9,15,Pharmacy,,Bulevar Partizanski Odredi,2C28+63 Skopje,zegin.com.mk,+389 2 329 8504,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,Closed,,0,42.0005625,21.4151875,,2020-11-09T09:46:18.384Z
Zegin,,4.5,2,Pharmacy,,Bulevar Partizanski Odredi ,293X+85 Skopje,zegin.com.mk,+389 2 306 5903,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM,,0,42.0033125,21.3979375,,2020-11-09T09:46:20.049Z
Zegin - Moja Apteka,,4.7,9,Pharmacy,,Ivan Agovski 7,2C36+2H Skopje,zegin.com.mk,+389 2 308 9997,8AM9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-4PM,,0,42.0025625,21.4114375,,2020-11-09T09:46:21.713Z
