0,title,rating,category,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
1,Remedium Lek,null,Pharmacy,Skopje,null,+389 2 307 1105,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,8AM-4PM,Closed,42.0023125,21.4090625
2,Zegin - Ruzveltova,null,Pharmacy,Franklin Ruzvelt 68 ,zegin.com.mk,+389 2 321 7050,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,7AM-10PM,42.0035625,21.4153125
3,Efedra,5,Pharmacy,Orce Nikolov 150 ,zk.mk,+389 2 306 7500,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,8AM-5PM,Closed,42.0044375,21.4150625
4,Zegin - Leptokarija,3,Pharmacy,Skopje,zegin.com.mk,+389 2 306 5903,null,null,null,null,null,null,null,42.0034375,21.3971875
5,Makmedika,null,Pharmacy,Veselin Maslesha,null,null,null,null,null,null,null,null,null,42.0034375,21.4075625
6,Eurofarm - Taftalidzhe,4.7,Pharmacy,Ulica Moskovska,eurofarm.com.mk,+389 2 551 4580,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,42.0009375,21.3903125
7,Ambrozija Farm,5,Pharmacy,Bulevar Partizanski Odredi ,null,+389 2 322 4399,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,9AM-5PM,Closed,42.0005625,21.4151875
8,Zegin,3.9,Pharmacy,Bulevar Partizanski Odredi,zegin.com.mk,+389 2 329 8504,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,Closed,42.0005625,21.4151875
9,Zegin,4.5,Pharmacy,Bulevar Partizanski Odredi ,zegin.com.mk,+389 2 306 5903,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM,42.0033125,21.3979375
10,Zegin - Moja Apteka,4.7,Pharmacy,Ivan Agovski 7,zegin.com.mk,+389 2 308 9997,8AM9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-4PM,42.0025625,21.4114375
11,Viola,4.3,Pharmacy,Bulevar Partizanski Odredi ,viola.com.mk,+389 2 307 7981,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,42.0030625,21.4011875
12,Trajko Pharma,4.7,Pharmacy,Bukureska 8,null,null,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,9AM-5PM,42.0004375,21.3969375
13,Beta Pharmacia,5,Pharmacy,Franklin Ruzvelt 28/1 Lokal 2 ,null,+389 2 325 6799,null,null,null,null,null,null,null,41.9999375,21.4131875
14,Akacija,5,Pharmacy,Kozle 88,zk.mk,+389 2 308 6106,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,Closed,41.9950625,21.3955625
15,Makfarm,null,Pharmacy,Veselin Maslesha,null,null,null,null,null,null,null,null,null,42.0034375,21.4075625
16,Panterfarm,null,Pharmacy,Centar ,null,null,null,null,null,null,null,null,null,42.0011875,21.4201875
17,Derma Pharm,4.4,Pharmacy,John Kennedy 25/7 ,null,+389 2 263 4071,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,42.0128125,21.4334375
18,Eurofarm,5,Pharmacy,Orce Nikolov 133 ,null,+389 2 312 0555,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0028125,21.4183125
19,Metamedico,null,Pharmacy,Borka Talevski 15 Lokal 5 ,metamedico.mk,+389 70 204 202,null,null,null,null,null,null,null,41.9974375,21.4195625
20,Zegin,4,Pharmacy,Kemal Sejfula 1/1-4,null,+389 2 265 6005,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-4PM,42.0203125,21.4431875
21,Zegin - Bunjakovec,4.6,Pharmacy,Aminta Treti Centar ,zegin.com.mk,+389 2 329 8504,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9985625,21.4228125
22,Zegin - Karposh 4,5,Pharmacy,Skopje,zegin.com.mk,+389 2 306 4330,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,42.0049375,21.3835625
23,Zegin - Taftalidze,4.5,Pharmacy,Ulica Moskovska ,zegin.com.mk,+389 2 306 4161,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,42.0018125,21.3895625
24,Beta Pharmacia,null,Pharmacy,Ivan Milutinovikj 24 ,null,null,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,Closed,41.9985625,21.4155625
25,Pavlofarm,null,Pharmacy,29-ti Noemvri Centar ,null,null,null,null,null,null,null,null,null,42.0008125,21.4181875
26,Zegin - Mlechen Restoran,3.8,Pharmacy,Mitropolit Teodosij Gologanov ,zegin.com.mk,+389 2 307 8681,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-4PM,9AM-2PM,41.9961875,21.4076875
27,Alpifarm,null,Pharmacy,Skopje,null,null,null,null,null,null,null,null,null,42.0016875,21.3905625
28,Carpediem,null,Pharmacy,John Kennedy 11Ð?/1 local 6 ,null,+389 2 262 2022,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,42.0130625,21.4373125
29,Zegin Alumina,5,Pharmacy,Mitropolit Teodosij Gologanov,zegin.com.mk,+389 2 306 4852,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9975625,21.3974375
30,AL-NE Farmacy,null,Pharmacy,Kemal Ataturk 75 ,instagram.com,null,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,9AM-11PM,42.0135625,21.4431875
31,Datel Farma,null,Pharmacy,Skopje,null,+389 2 261 2536,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,9:30AM-2:30PM,42.0159375,21.4344375
32,Remedium,5,Pharmacy,Nikola Parapunov ,null,null,null,null,null,null,null,null,null,42.0061875,21.3816875
33,Omega,null,Pharmacy,Aminta Treti 44 ,null,null,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9983125,21.4225625
34,LifeLine Pharmacy,1,Pharmacy,Pariska 15 ,apteka-lifeline.business.site,+389 70 217 128,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0005625,21.4008125
35,Eurofarm Debar Maalo,null,Pharmacy,Orce Nikolov ,null,null,null,null,null,null,null,null,null,42.0021875,21.4199375
36,Skopje,null,Pharmacy,Vostanicka 9e ,null,null,null,null,null,null,null,null,null,41.9855625,21.4249375
37,Zegin Orthopedic,null,Pharmacy,Chair ,zegin.com.mk,+389 2 232 5421,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-2PM,Closed,41.9914375,21.4368125
38,Eurofarm,null,Pharmacy,Bulevar Partizanski Odredi 25/2 ,eurofarm.com.mk,+389 2 311 1410,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9986875,21.4220625
39,Eurofarm,4.5,Pharmacy,Skopje,eurofarm.com.mk,+389 2 311 1522,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0028125,21.4009375
40,Ambrozija Farm,5,Pharmacy,Bulevar Partizanski Odredi ,null,+389 2 322 4399,null,null,null,null,null,null,null,42.0005625,21.4151875
41,Inter-Evrogeneks Pharmaceutical Industry,5,Pharmacy,Nikola Vapcarov 20 ,interevrogeneks.com,+389 2 321 5800,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9950625,21.4290625
42,Eurofarm - Vero 2,4,Pharmacy,Mitropolit Teodosij Gologanov ,eurofarm.com.mk,+389 3078677,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9970625,21.4051875
43,Viola Bunjakovec,4.5,Pharmacy,Partizanski odredi 29/5 ,viola.com.mk,+389 2 311 7814,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,8AM-10PM,Closed,41.9988125,21.4206875
44,BILNA APTEKA & ZDRAVA HRANA,5,Pharmacy,29-ti Noemvri Centar ,bio-herb.org,+389 78 255 369,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0010625,21.4181875
45,Pharmacy Zegin,4.5,Pharmacy,Skopje,null,null,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-4PM,41.9975625,21.3975625
46,Oskar Lek,4.5,Pharmacy,Bulevar Ilinden 48 ,oskarlek.mk,+389 2 313 2227,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0008125,21.4263125
47,Zegin Kapishtec,4.3,Pharmacy,Vasil Gjorgov Del 5-1 Kat 1 ,zegin.com.mk,+389 2 321 6519,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9933125,21.4154375
48,Lotos Pharm,null,Pharmacy,Bulevar Sveti Kliment Ohridski ,null,+389 2 321 3315,null,null,null,null,null,null,null,41.9979375,21.4250625
49,Viola Kapishtec,3.2,Pharmacy,Vasil Gjorgov 1 ,viola.com.mk,+389 2 315 1977,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,41.9928125,21.4160625
50,Zegin - Medika,3,Pharmacy,Naroden Front 5/4-2 ,zegin.com.mk,+389 2 321 5600,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-9PM,41.9928125,21.4204375
51,Zegin - John Kennedy,4,Pharmacy,Skopje,zegin.com.mk,+389 2 261 8986,null,null,null,null,null,null,null,42.0133125,21.4393125
52,Zegin - Bit Pazar,4.8,Pharmacy,Skopje,zegin.com.mk,+389 2 329 8734,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0024375,21.4394375
53,Zegin - Kozle,4,Pharmacy,Kozle ,zegin.com.mk,+389 2 307 1587,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9949375,21.3944375
54,Herba,null,Pharmacy,Skopje,null,null,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,8AM-8PM,10AM-5PM,42.0211875,21.4446875
55,Zegin - Centar,null,Pharmacy,Dimitrija Chupovski ,zegin.com.mk,+389 2 312 2225,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9954375,21.4273125
56,Makmedika,4.2,Pharmacy,Bulevar Partizanski Odredi 149 ,null,+389 2 203 1082,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,9AM-1PM,42.0073125,21.3681875
57,Zegin,4.3,Pharmacy,Bulevar Sveti Kliment Ohridski,zegin.com.mk,+389 2 311 8388,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-5PM,Closed,41.9995625,21.4265625
58,Zegin - Gradska bolnica,4.6,Pharmacy,Skopje,zegin.com.mk,+389 2 313 6280,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9929375,21.4343125
59,Zegin - Moja Apteka,null,Pharmacy,Mitropolit Teodosij Gologanov,null,null,null,null,null,null,null,null,null,41.9959375,21.4070625
60,Varufarm Inter-Evrogenex,5,Pharmacy,Majka Tereza 18 ,interevrogeneks.com,+389 2 317 7922,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9910625,21.4211875
61,Moja apteka,null,Pharmacy,Skopje,null,null,null,null,null,null,null,null,null,42.0278125,21.4054375
62,Apteka Life Skopje,5,Pharmacy,Bulevar Kocho Racin 7 ,null,+389 2 551 3555,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-6PM,Closed,41.9915625,21.4375625
63,Zegin - GTC1,3,Pharmacy,Skopje,zegin.com.mk,+389 2 329 8980,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,8AM-6PM,Closed,41.9944375,21.4344375
64,Biofit - Kozle,5,Pharmacy,Kozle 44 ,zk.mk,+389 2 308 2246,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-2PM,Closed,41.9940625,21.4009375
65,Lafoma Alkaloid,5,Pharmacy,Skopje,null,null,null,null,null,null,null,null,null,42.0125625,21.3655625
66,Gea - Vodnjanska,null,Pharmacy,Elisie Popovski Marko 1 ,null,null,9AM-3PM,9AM-3PM,9AM-3PM,9AM-3PM,9AM-3PM,Closed,Closed,41.9904375,21.4205625
67,Natural Company,null,Pharmacy,Dimitrie Chupovski 23,null,null,null,null,null,null,null,null,null,41.9945625,21.4289375
68,Galenium pharm,null,Pharmacy,Vasil Gjorgov ,null,null,null,null,null,null,null,null,null,41.9928125,21.4171875
69,Viola - Centar,3.2,Pharmacy,Dimitrie Chupovski ,viola.com.mk,+389 2 312 5155,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,8AM-10PM,Closed,41.9955625,21.4265625
70,Zegin - Cvetan Dimov,1,Pharmacy,Cvetan Dimov ,null,null,null,null,null,null,null,null,null,42.0108125,21.4445625
71,Herbal Pharmacy,4.5,Pharmacy,11-ti Oktomvri 46 ,alkaloid.com.mk,+389 2 323 7975,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,8AM-12PM,8AM-12PM,41.9885625,21.4359375
72,Alpi Farm 1,5,Pharmacy,Vtora Makedonska Brigada ,null,null,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,8AM-8PM,Closed,42.0226875,21.4330625
73,Betty,null,Pharmacy,Mitropolit Teodosij Gologanov,null,+389 2 322 0049,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9951875,21.4230625
74,Zegin - Vodno,4.3,Pharmacy,Vladimir Nazor ,zegin.com.mk,+389 2 310 9228,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-9PM,41.9901875,21.4201875
75,Zegin - Butel 1,4.3,Pharmacy,Aleksandar Urdarevski ,zegin.com.mk,+389 2 263 8742,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0320625,21.4450625
76,Buharishop,null,Pharmacy,Cvetan Dimov 51 ,null,+389 71 823 351,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,Closed,42.0103125,21.4439375
